"DateTime";"Players"
"2021-05-17 20:30:00";15290
"2021-05-17 20:40:00";14943
"2021-05-17 20:50:00";14397
"2021-05-17 21:00:00";14089
"2021-05-17 21:10:00";12917
"2021-05-17 21:20:00";12274
"2021-05-17 21:30:00";11524
"2021-05-17 21:40:00";10992
"2021-05-17 21:50:00";10520
"2021-05-17 22:00:00";9975
"2021-05-17 22:10:00";9396
"2021-05-17 22:20:00";9110
"2021-05-17 22:30:00";8672
"2021-05-17 22:40:00";8460
"2021-05-17 22:50:00";8235
"2021-05-17 23:00:00";8097
"2021-05-17 23:10:00";7936
"2021-05-17 23:20:00";7817
"2021-05-17 23:30:00";7690
"2021-05-17 23:40:00";7683
"2021-05-17 23:50:00";7654
"2021-05-18 00:00:00";7690
"2021-05-18 00:10:00";7819
"2021-05-18 00:20:00";7964
"2021-05-18 00:30:00";8061
"2021-05-18 00:40:00";8141
"2021-05-18 00:50:00";8275
"2021-05-18 01:00:00";8334
"2021-05-18 01:10:00";8471
"2021-05-18 01:20:00";8594
"2021-05-18 01:30:00";8693
"2021-05-18 01:40:00";8747
"2021-05-18 01:50:00";8876
"2021-05-18 02:00:00";8894
"2021-05-18 02:10:00";8855
"2021-05-18 02:20:00";8747
"2021-05-18 02:30:00";8751
"2021-05-18 02:40:00";8735
"2021-05-18 02:50:00";8711
"2021-05-18 03:00:00";8587
"2021-05-18 03:10:00";8380
"2021-05-18 03:20:00";8233
"2021-05-18 03:30:00";8031
"2021-05-18 03:40:00";7847
"2021-05-18 03:50:00";7629
"2021-05-18 04:00:00";7454
"2021-05-18 04:10:00";7199
"2021-05-18 04:20:00";7141
"2021-05-18 04:30:00";6956
"2021-05-18 04:40:00";6845
"2021-05-18 04:50:00";6757
"2021-05-18 05:00:00";6600
"2021-05-18 05:10:00";6277
"2021-05-18 05:20:00";6087
"2021-05-18 05:30:00";5848
"2021-05-18 05:40:00";5710
"2021-05-18 05:50:00";5433
"2021-05-18 06:00:00";5244
"2021-05-18 06:10:00";4969
"2021-05-18 06:20:00";4916
"2021-05-18 06:30:00";4868
"2021-05-18 06:40:00";4780
"2021-05-18 06:50:00";4782
"2021-05-18 07:00:00";4761
"2021-05-18 07:10:00";4791
"2021-05-18 07:20:00";4745
"2021-05-18 07:30:00";4637
"2021-05-18 07:40:00";4641
"2021-05-18 07:50:00";4644
"2021-05-18 08:00:00";4662
"2021-05-18 08:10:00";4680
"2021-05-18 08:20:00";4678
"2021-05-18 08:30:00";4732
"2021-05-18 08:40:00";4747
"2021-05-18 08:50:00";4671
"2021-05-18 09:00:00";4621
"2021-05-18 09:10:00";4628
"2021-05-18 09:20:00";4609
"2021-05-18 09:30:00";4645
"2021-05-18 09:40:00";4723
"2021-05-18 09:50:00";4791
"2021-05-18 10:00:00";4813
"2021-05-18 10:10:00";4769
"2021-05-18 10:20:00";4911
"2021-05-18 10:30:00";5002
"2021-05-18 10:40:00";5110
"2021-05-18 10:50:00";5188
"2021-05-18 11:00:00";5322
"2021-05-18 11:10:00";5466
"2021-05-18 11:20:00";5529
"2021-05-18 11:30:00";5656
"2021-05-18 11:40:00";5790
"2021-05-18 11:50:00";6098
"2021-05-18 12:00:00";6405
"2021-05-18 12:10:00";6889
"2021-05-18 12:20:00";7223
"2021-05-18 12:30:00";7536
"2021-05-18 12:40:00";7895
"2021-05-18 12:50:00";8253
"2021-05-18 13:00:00";8841
"2021-05-18 13:10:00";9422
"2021-05-18 13:20:00";9751
"2021-05-18 13:30:00";10087
"2021-05-18 13:40:00";10485
"2021-05-18 13:50:00";10782
"2021-05-18 14:00:00";11148
"2021-05-18 14:10:00";11386
"2021-05-18 14:20:00";11591
"2021-05-18 14:30:00";11848
"2021-05-18 14:40:00";11936
"2021-05-18 14:50:00";11962
"2021-05-18 15:00:00";12002
"2021-05-18 15:10:00";11910
"2021-05-18 15:20:00";11794
"2021-05-18 15:30:00";11655
"2021-05-18 15:40:00";11577
"2021-05-18 15:50:00";11462
"2021-05-18 16:00:00";11332
"2021-05-18 16:10:00";11117
"2021-05-18 16:20:00";10928
"2021-05-18 16:30:00";10645
"2021-05-18 16:40:00";10617
"2021-05-18 16:50:00";10644
"2021-05-18 17:00:00";10626
"2021-05-18 17:10:00";10634
"2021-05-18 17:20:00";10743
"2021-05-18 17:30:00";10784
"2021-05-18 17:40:00";10915
"2021-05-18 17:50:00";11111
"2021-05-18 18:00:00";11337
"2021-05-18 18:10:00";11883
"2021-05-18 18:20:00";12227
"2021-05-18 18:30:00";12692
"2021-05-18 18:40:00";12823
"2021-05-18 18:50:00";13580
"2021-05-18 19:00:00";13865
"2021-05-18 19:10:00";14457
"2021-05-18 19:20:00";14926
"2021-05-18 19:30:00";15178
"2021-05-18 19:40:00";15446
"2021-05-18 19:50:00";15523
"2021-05-18 20:00:00";15409
"2021-05-18 20:10:00";15152
"2021-05-18 20:20:00";14843
"2021-05-18 20:30:00";14437
"2021-05-18 20:40:00";14279
"2021-05-18 20:50:00";13759
"2021-05-18 21:00:00";13308
"2021-05-18 21:10:00";12407
"2021-05-18 21:20:00";12062
"2021-05-18 21:30:00";11478
"2021-05-18 21:40:00";10924
"2021-05-18 21:50:00";10464
"2021-05-18 22:00:00";10047
"2021-05-18 22:10:00";9556
"2021-05-18 22:20:00";9237
"2021-05-18 22:30:00";8884
"2021-05-18 22:40:00";8639
"2021-05-18 22:50:00";8510
"2021-05-18 23:00:00";8184
"2021-05-18 23:10:00";8071
"2021-05-18 23:20:00";2016
"2021-05-18 23:30:00";4007
"2021-05-18 23:40:00";7568
"2021-05-18 23:50:00";7838
"2021-05-19 00:00:00";7918
"2021-05-19 00:10:00";7938
"2021-05-19 00:20:00";8051
"2021-05-19 00:30:00";8181
"2021-05-19 00:40:00";8377
"2021-05-19 00:50:00";8551
"2021-05-19 01:00:00";8638
"2021-05-19 01:10:00";8803
"2021-05-19 01:20:00";8985
"2021-05-19 01:30:00";9181
"2021-05-19 01:40:00";9190
"2021-05-19 01:50:00";9099
"2021-05-19 02:00:00";9074
"2021-05-19 02:10:00";8984
"2021-05-19 02:20:00";9100
"2021-05-19 02:30:00";9167
"2021-05-19 02:40:00";9160
"2021-05-19 02:50:00";9114
"2021-05-19 03:00:00";9089
"2021-05-19 03:10:00";8838
"2021-05-19 03:20:00";8780
"2021-05-19 03:30:00";8710
"2021-05-19 03:40:00";8462
"2021-05-19 03:50:00";8297
"2021-05-19 04:00:00";7996
"2021-05-19 04:10:00";7728
"2021-05-19 04:20:00";7473
"2021-05-19 04:30:00";7256
"2021-05-19 04:40:00";7020
"2021-05-19 04:50:00";6882
"2021-05-19 05:00:00";6701
"2021-05-19 05:10:00";6449
"2021-05-19 05:20:00";6267
"2021-05-19 05:30:00";6078
"2021-05-19 05:40:00";5929
"2021-05-19 05:50:00";5690
"2021-05-19 06:00:00";5593
"2021-05-19 06:10:00";5469
"2021-05-19 06:20:00";5407
"2021-05-19 06:30:00";5365
"2021-05-19 06:40:00";5396
"2021-05-19 06:50:00";5339
"2021-05-19 07:00:00";5210
"2021-05-19 07:10:00";5105
"2021-05-19 07:20:00";5043
"2021-05-19 07:30:00";4913
"2021-05-19 07:40:00";4888
"2021-05-19 07:50:00";4895
"2021-05-19 08:00:00";4821
"2021-05-19 08:10:00";4851
"2021-05-19 08:20:00";4874
"2021-05-19 08:30:00";4857
"2021-05-19 08:40:00";4944
"2021-05-19 08:50:00";4913
"2021-05-19 09:00:00";4943
"2021-05-19 09:10:00";4883
"2021-05-19 09:20:00";4878
"2021-05-19 09:30:00";4919
"2021-05-19 09:40:00";4987
"2021-05-19 09:50:00";4956
"2021-05-19 10:00:00";4930
"2021-05-19 10:10:00";4897
"2021-05-19 10:20:00";4854
"2021-05-19 10:30:00";4956
"2021-05-19 10:40:00";5087
"2021-05-19 10:50:00";5171
"2021-05-19 11:00:00";5289
"2021-05-19 11:10:00";5464
"2021-05-19 11:20:00";5550
"2021-05-19 11:30:00";5766
"2021-05-19 11:40:00";5990
"2021-05-19 11:50:00";6216
"2021-05-19 12:00:00";6641
"2021-05-19 12:10:00";7215
"2021-05-19 12:20:00";7628
"2021-05-19 12:30:00";8002
"2021-05-19 12:40:00";8538
"2021-05-19 12:50:00";8962
"2021-05-19 13:00:00";9419
"2021-05-19 13:10:00";9922
"2021-05-19 13:20:00";10384
"2021-05-19 13:30:00";10765
"2021-05-19 13:40:00";11234
"2021-05-19 13:50:00";11489
"2021-05-19 14:00:00";11566
"2021-05-19 14:10:00";11729
"2021-05-19 14:20:00";11729
"2021-05-19 14:30:00";11876
"2021-05-19 14:40:00";11990
"2021-05-19 14:50:00";12061
"2021-05-19 15:00:00";11866
"2021-05-19 15:10:00";11714
"2021-05-19 15:20:00";11460
"2021-05-19 15:30:00";11244
"2021-05-19 15:40:00";11137
"2021-05-19 15:50:00";10845
"2021-05-19 16:00:00";10682
"2021-05-19 16:10:00";10526
"2021-05-19 16:20:00";10439
"2021-05-19 16:30:00";10378
"2021-05-19 16:40:00";10283
"2021-05-19 16:50:00";10221
"2021-05-19 17:00:00";10071
"2021-05-19 17:10:00";10113
"2021-05-19 17:20:00";10287
"2021-05-19 17:30:00";10435
"2021-05-19 17:40:00";10526
"2021-05-19 17:50:00";10810
"2021-05-19 18:00:00";11142
"2021-05-19 18:10:00";11629
"2021-05-19 18:20:00";12079
"2021-05-19 18:30:00";12673
"2021-05-19 18:40:00";13243
"2021-05-19 18:50:00";13635
"2021-05-19 19:00:00";14064
"2021-05-19 19:10:00";14641
"2021-05-19 19:20:00";14957
"2021-05-19 19:30:00";15195
"2021-05-19 19:40:00";15483
"2021-05-19 19:50:00";15545
"2021-05-19 20:00:00";15504
"2021-05-19 20:10:00";15316
"2021-05-19 20:20:00";15175
"2021-05-19 20:30:00";14824
"2021-05-19 20:40:00";14373
"2021-05-19 20:50:00";13953
"2021-05-19 21:00:00";13453
"2021-05-19 21:10:00";12815
"2021-05-19 21:20:00";12149
"2021-05-19 21:30:00";11584
"2021-05-19 21:40:00";10938
"2021-05-19 21:50:00";10395
"2021-05-19 22:00:00";9813
"2021-05-19 22:10:00";9459
"2021-05-19 22:20:00";9051
"2021-05-19 22:30:00";8764
"2021-05-19 22:40:00";8496
"2021-05-19 22:50:00";8198
"2021-05-19 23:00:00";7996
"2021-05-19 23:10:00";7786
"2021-05-19 23:20:00";7592
"2021-05-19 23:30:00";7540
"2021-05-19 23:40:00";7660
"2021-05-19 23:50:00";7639
"2021-05-20 00:00:00";7560
"2021-05-20 00:10:00";7680
"2021-05-20 00:20:00";7868
"2021-05-20 00:30:00";7931
"2021-05-20 00:40:00";8042
"2021-05-20 00:50:00";8261
"2021-05-20 01:00:00";8270
"2021-05-20 01:10:00";8398
"2021-05-20 01:20:00";8617
"2021-05-20 01:30:00";8643
"2021-05-20 01:40:00";8594
"2021-05-20 01:50:00";8707
"2021-05-20 02:00:00";8661
"2021-05-20 02:10:00";8602
"2021-05-20 02:20:00";8514
"2021-05-20 02:30:00";8565
"2021-05-20 02:40:00";8557
"2021-05-20 02:50:00";8443
"2021-05-20 03:00:00";8215
"2021-05-20 03:10:00";8044
"2021-05-20 03:20:00";7880
"2021-05-20 03:30:00";7872
"2021-05-20 03:40:00";7769
"2021-05-20 03:50:00";7708
"2021-05-20 04:00:00";7591
"2021-05-20 04:10:00";7362
"2021-05-20 04:20:00";7185
"2021-05-20 04:30:00";7030
"2021-05-20 04:40:00";6844
"2021-05-20 04:50:00";6707
"2021-05-20 05:00:00";6494
"2021-05-20 05:10:00";6255
"2021-05-20 05:20:00";6009
"2021-05-20 05:30:00";5844
"2021-05-20 05:40:00";5698
"2021-05-20 05:50:00";5529
"2021-05-20 06:00:00";5284
"2021-05-20 06:10:00";5045
"2021-05-20 06:20:00";4928
"2021-05-20 06:30:00";4850
"2021-05-20 06:40:00";4712
"2021-05-20 06:50:00";4627
"2021-05-20 07:00:00";4578
"2021-05-20 07:10:00";4465
"2021-05-20 07:20:00";4461
"2021-05-20 07:30:00";4467
"2021-05-20 07:40:00";4494
"2021-05-20 07:50:00";4488
"2021-05-20 08:00:00";4405
"2021-05-20 08:10:00";4329
"2021-05-20 08:20:00";4467
"2021-05-20 08:30:00";4506
"2021-05-20 08:40:00";4474
"2021-05-20 08:50:00";4499
"2021-05-20 09:00:00";4514
"2021-05-20 09:10:00";4509
"2021-05-20 09:20:00";4511
"2021-05-20 09:30:00";4583
"2021-05-20 09:40:00";4630
"2021-05-20 09:50:00";4635
"2021-05-20 10:00:00";4642
"2021-05-20 10:10:00";4689
"2021-05-20 10:20:00";4748
"2021-05-20 10:30:00";4828
"2021-05-20 10:40:00";4875
"2021-05-20 10:50:00";4998
"2021-05-20 11:00:00";5142
"2021-05-20 11:10:00";5355
"2021-05-20 11:20:00";5486
"2021-05-20 11:30:00";5618
"2021-05-20 11:40:00";5731
"2021-05-20 11:50:00";5906
"2021-05-20 12:00:00";6215
"2021-05-20 12:10:00";6738
"2021-05-20 12:20:00";7049
"2021-05-20 12:30:00";7406
"2021-05-20 12:40:00";7755
"2021-05-20 12:50:00";8080
"2021-05-20 13:00:00";8568
"2021-05-20 13:10:00";9159
"2021-05-20 13:20:00";9540
"2021-05-20 13:30:00";9913
"2021-05-20 13:40:00";10195
"2021-05-20 13:50:00";10549
"2021-05-20 14:00:00";10743
"2021-05-20 14:10:00";11067
"2021-05-20 14:20:00";11099
"2021-05-20 14:30:00";11320
"2021-05-20 14:40:00";11381
"2021-05-20 14:50:00";11518
"2021-05-20 15:00:00";11519
"2021-05-20 15:10:00";11435
"2021-05-20 15:20:00";11216
"2021-05-20 15:30:00";10896
"2021-05-20 15:40:00";10639
"2021-05-20 15:50:00";10531
"2021-05-20 16:00:00";10312
"2021-05-20 16:10:00";10085
"2021-05-20 16:20:00";9982
"2021-05-20 16:30:00";9919
"2021-05-20 16:40:00";9707
"2021-05-20 16:50:00";9701
"2021-05-20 17:00:00";9697
"2021-05-20 17:10:00";9609
"2021-05-20 17:20:00";9731
"2021-05-20 17:30:00";9913
"2021-05-20 17:40:00";9880
"2021-05-20 17:50:00";10264
"2021-05-20 18:00:00";10617
"2021-05-20 18:10:00";11292
"2021-05-20 18:20:00";11910
"2021-05-20 18:30:00";12420
"2021-05-20 18:40:00";12915
"2021-05-20 18:50:00";13118
"2021-05-20 19:00:00";13537
"2021-05-20 19:10:00";14141
"2021-05-20 19:20:00";14643
"2021-05-20 19:30:00";14840
"2021-05-20 19:40:00";15063
"2021-05-20 19:50:00";15057
"2021-05-20 20:00:00";14952
"2021-05-20 20:10:00";14886
"2021-05-20 20:20:00";14807
"2021-05-20 20:30:00";14504
"2021-05-20 20:40:00";14174
"2021-05-20 20:50:00";13929
"2021-05-20 21:00:00";13075
"2021-05-20 21:10:00";12728
"2021-05-20 21:20:00";12250
"2021-05-20 21:30:00";11787
"2021-05-20 21:40:00";11152
"2021-05-20 21:50:00";10584
"2021-05-20 22:00:00";10092
"2021-05-20 22:10:00";9548
"2021-05-20 22:20:00";9093
"2021-05-20 22:30:00";8581
"2021-05-20 22:40:00";8581
"2021-05-20 22:50:00";8308
"2021-05-20 23:00:00";8028
"2021-05-20 23:10:00";7899
"2021-05-20 23:20:00";7919
"2021-05-20 23:30:00";7820
"2021-05-20 23:40:00";7722
"2021-05-20 23:50:00";7767
"2021-05-21 00:00:00";7835
"2021-05-21 00:10:00";7943
"2021-05-21 00:20:00";7938
"2021-05-21 00:30:00";8042
"2021-05-21 00:40:00";8079
"2021-05-21 00:50:00";8378
"2021-05-21 01:00:00";8510
"2021-05-21 01:10:00";8601
"2021-05-21 01:20:00";8775
"2021-05-21 01:30:00";8838
"2021-05-21 01:40:00";9088
"2021-05-21 01:50:00";9145
"2021-05-21 02:00:00";9129
"2021-05-21 02:10:00";9083
"2021-05-21 02:20:00";9096
"2021-05-21 02:30:00";8997
"2021-05-21 02:40:00";8928
"2021-05-21 02:50:00";8944
"2021-05-21 03:00:00";8814
"2021-05-21 03:10:00";8533
"2021-05-21 03:20:00";8312
"2021-05-21 03:30:00";8118
"2021-05-21 03:40:00";7952
"2021-05-21 03:50:00";7824
"2021-05-21 04:00:00";7670
"2021-05-21 04:10:00";7354
"2021-05-21 04:20:00";7175
"2021-05-21 04:30:00";7018
"2021-05-21 04:40:00";6742
"2021-05-21 04:50:00";6490
"2021-05-21 05:00:00";6245
"2021-05-21 05:10:00";6036
"2021-05-21 05:20:00";5947
"2021-05-21 05:30:00";5745
"2021-05-21 05:40:00";5567
"2021-05-21 05:50:00";5472
"2021-05-21 06:00:00";5318
"2021-05-21 06:10:00";5161
"2021-05-21 06:20:00";4976
"2021-05-21 06:30:00";4964
"2021-05-21 06:40:00";4855
"2021-05-21 06:50:00";4825
"2021-05-21 07:00:00";4715
"2021-05-21 07:10:00";4642
"2021-05-21 07:20:00";4531
"2021-05-21 07:30:00";4561
"2021-05-21 07:40:00";4552
"2021-05-21 07:50:00";4546
"2021-05-21 08:00:00";4590
"2021-05-21 08:10:00";4558
"2021-05-21 08:20:00";4539
"2021-05-21 08:30:00";4537
"2021-05-21 08:40:00";4547
"2021-05-21 08:50:00";4629
"2021-05-21 09:00:00";4597
"2021-05-21 09:10:00";4539
"2021-05-21 09:20:00";4570
"2021-05-21 09:30:00";4621
"2021-05-21 09:40:00";4662
"2021-05-21 09:50:00";4718
"2021-05-21 10:00:00";4668
"2021-05-21 10:10:00";4694
"2021-05-21 10:20:00";4774
"2021-05-21 10:30:00";4888
"2021-05-21 10:40:00";4956
"2021-05-21 10:50:00";5037
"2021-05-21 11:00:00";5182
"2021-05-21 11:10:00";5412
"2021-05-21 11:20:00";5603
"2021-05-21 11:30:00";5894
"2021-05-21 11:40:00";6147
"2021-05-21 11:50:00";6526
"2021-05-21 12:00:00";7042
"2021-05-21 12:10:00";8130
"2021-05-21 12:20:00";8792
"2021-05-21 12:30:00";9394
"2021-05-21 12:40:00";10072
"2021-05-21 12:50:00";10814
"2021-05-21 13:00:00";11433
"2021-05-21 13:10:00";12491
"2021-05-21 13:20:00";13259
"2021-05-21 13:30:00";13958
"2021-05-21 13:40:00";14621
"2021-05-21 13:50:00";15210
"2021-05-21 14:00:00";15512
"2021-05-21 14:10:00";16112
"2021-05-21 14:20:00";16538
"2021-05-21 14:30:00";16732
"2021-05-21 14:40:00";17063
"2021-05-21 14:50:00";17182
"2021-05-21 15:00:00";17220
"2021-05-21 15:10:00";17162
"2021-05-21 15:20:00";16915
"2021-05-21 15:30:00";16792
"2021-05-21 15:40:00";16688
"2021-05-21 15:50:00";16435
"2021-05-21 16:00:00";16200
"2021-05-21 16:10:00";15895
"2021-05-21 16:20:00";15465
"2021-05-21 16:30:00";15093
"2021-05-21 16:40:00";14944
"2021-05-21 16:50:00";14901
"2021-05-21 17:00:00";14781
"2021-05-21 17:10:00";14470
"2021-05-21 17:20:00";14084
"2021-05-21 17:30:00";13851
"2021-05-21 17:40:00";13635
"2021-05-21 17:50:00";13571
"2021-05-21 18:00:00";13557
"2021-05-21 18:10:00";14214
"2021-05-21 18:20:00";14552
"2021-05-21 18:30:00";14983
"2021-05-21 18:40:00";15531
"2021-05-21 18:50:00";16048
"2021-05-21 19:00:00";16328
"2021-05-21 19:10:00";17453
"2021-05-21 19:20:00";18248
"2021-05-21 19:30:00";18825
"2021-05-21 19:40:00";19486
"2021-05-21 19:50:00";19785
"2021-05-21 20:00:00";20271
"2021-05-21 20:10:00";20298
"2021-05-21 20:20:00";20429
"2021-05-21 20:30:00";20347
"2021-05-21 20:40:00";20281
"2021-05-21 20:50:00";20004
"2021-05-21 21:00:00";19162
"2021-05-21 21:10:00";18551
"2021-05-21 21:20:00";18070
"2021-05-21 21:30:00";17491
"2021-05-21 21:40:00";16810
"2021-05-21 21:50:00";16161
"2021-05-21 22:00:00";15457
"2021-05-21 22:10:00";14665
"2021-05-21 22:20:00";14014
"2021-05-21 22:30:00";13378
"2021-05-21 22:40:00";12596
"2021-05-21 22:50:00";12102
"2021-05-21 23:00:00";11602
"2021-05-21 23:10:00";11299
"2021-05-21 23:20:00";11068
"2021-05-21 23:30:00";10816
"2021-05-21 23:40:00";10589
"2021-05-21 23:50:00";10350
"2021-05-22 00:00:00";10155
"2021-05-22 00:10:00";9984
"2021-05-22 00:20:00";10022
"2021-05-22 00:30:00";10076
"2021-05-22 00:40:00";10069
"2021-05-22 00:50:00";10329
"2021-05-22 01:00:00";10561
"2021-05-22 01:10:00";10784
"2021-05-22 01:20:00";11041
"2021-05-22 01:30:00";11274
"2021-05-22 01:40:00";11695
"2021-05-22 01:50:00";11918
"2021-05-22 02:00:00";12050
"2021-05-22 02:10:00";12338
"2021-05-22 02:20:00";12597
"2021-05-22 02:30:00";12854
"2021-05-22 02:40:00";12906
"2021-05-22 02:50:00";13008
"2021-05-22 03:00:00";12872
"2021-05-22 03:10:00";12947
"2021-05-22 03:20:00";13001
"2021-05-22 03:30:00";12944
"2021-05-22 03:40:00";12793
"2021-05-22 03:50:00";12684
"2021-05-22 04:00:00";12538
"2021-05-22 04:10:00";12200
"2021-05-22 04:20:00";11866
"2021-05-22 04:30:00";11748
"2021-05-22 04:40:00";11466
"2021-05-22 04:50:00";11208
"2021-05-22 05:00:00";10814
"2021-05-22 05:10:00";10369
"2021-05-22 05:20:00";10210
"2021-05-22 05:30:00";9938
"2021-05-22 05:40:00";9428
"2021-05-22 05:50:00";9161
"2021-05-22 06:00:00";8894
"2021-05-22 06:10:00";8595
"2021-05-22 06:20:00";8323
"2021-05-22 06:30:00";8155
"2021-05-22 06:40:00";8003
"2021-05-22 06:50:00";7728
"2021-05-22 07:00:00";7522
"2021-05-22 07:10:00";7219
"2021-05-22 07:20:00";7019
"2021-05-22 07:30:00";6814
"2021-05-22 07:40:00";6754
"2021-05-22 07:50:00";6607
"2021-05-22 08:00:00";6543
"2021-05-22 08:10:00";6434
"2021-05-22 08:20:00";6367
"2021-05-22 08:30:00";6295
"2021-05-22 08:40:00";6306
"2021-05-22 08:50:00";6186
"2021-05-22 09:00:00";6085
"2021-05-22 09:10:00";6069
"2021-05-22 09:20:00";6046
"2021-05-22 09:30:00";5998
"2021-05-22 09:40:00";6065
"2021-05-22 09:50:00";6077
"2021-05-22 10:00:00";6087
"2021-05-22 10:10:00";6105
"2021-05-22 10:20:00";6141
"2021-05-22 10:30:00";6190
"2021-05-22 10:40:00";6259
"2021-05-22 10:50:00";6491
"2021-05-22 11:00:00";6792
"2021-05-22 11:10:00";7173
"2021-05-22 11:20:00";7479
"2021-05-22 11:30:00";7818
"2021-05-22 11:40:00";8229
"2021-05-22 11:50:00";8666
"2021-05-22 12:00:00";9525
"2021-05-22 12:10:00";10978
"2021-05-22 12:20:00";11857
"2021-05-22 12:30:00";12655
"2021-05-22 12:40:00";13626
